countrycode,average_diarrhea_prevalence_under_5
AFG,22.82
AGO,23.12
ALB,5.2
ARG,9.1
ARM,8.7599998
AZE,10.44
BDI,24.94
BEN,6.34
BFA,14.84
BGD,4.58
BIH,5.96
BLZ,7.74
BOL,25.3
BRA,12.12
BTN,25.02
CAF,23.58
CIV,17.9
CMR,20.32
COG,13.6
COL,11.96
COM,16.54
CRI,6.9599999
DOM,17.34
DZA,8.7600002
EGY,8.4400002
ERI,12.96
ETH,13.32
GAB,15.54
GEO,10.5
GHA,12.36
GIN,16.46
GMB,16.98
GNB,9.1400002
GTM,13.16
GUY,8.92
HND,17.44
HTI,20.58
IDN,14.24
IND,8.9800001
IRQ,14.48
JAM,5.6
JOR,15.26
KAZ,1.92
KEN,16.4
KGZ,5.0799999
KHM,14.4
LAO,9.0799999
LBR,21.68
LSO,13.54
MAR,15.6
MDA,6.6
MDG,8.4000002
MDV,4.3800001
MKD,6.34
MLI,8.6599998
MMR,6.6200001
MNG,10.38
MOZ,11.12
MRT,16.7
MWI,17.5
NAM,12.16
NER,14.12
NGA,10.02
NIC,12.58
NPL,13.72
PAK,22.3
PER,11.82
PHL,7.7399999
PRY,7.9
RWA,13
SDN,25.94
SEN,20.659999
SLE,11.14
SOM,20.98
SRB,7.5
SSD,34.000001
STP,15.9
SUR,9.0600001
SWZ,15.64
SYR,8.0000001
TCD,25.06
TGO,20.14
THA,5.04
TJK,15.1
TKM,3.24
TMP,15.62
TUN,7.44
TUR,28.68
TZA,14.62
UGA,23.18
VEN,10.44
VNM,7.3
VUT,13.86
WBG,12.7
YEM,33.14
ZAF,12.8
ZAR,16.86
ZMB,15.6
ZWE,13.16
